locus,sample_id,artifact_label,path,exists,path_type,size_bytes,symlink_target
Tigre,Brain_E1_all_TA,staging_root,/home/zhutao/scratch/nichefate/darlin_meiji_e1_ra_ta_01c/TA_Tigre,True,directory,0,
Tigre,Brain_E1_all_TA,darlin_root,/home/zhutao/scratch/nichefate/darlin_meiji_e1_ra_ta_01c/TA_Tigre/DARLIN,True,directory,0,
Tigre,Brain_E1_all_TA,pear_output,/home/zhutao/scratch/nichefate/darlin_meiji_e1_ra_ta_01c/TA_Tigre/pear_output,True,directory,0,
Tigre,Brain_E1_all_TA,fastqc_before_pear,/home/zhutao/scratch/nichefate/darlin_meiji_e1_ra_ta_01c/TA_Tigre/fastqc_before_pear,True,directory,0,
Tigre,Brain_E1_all_TA,fastqc_after_pear,/home/zhutao/scratch/nichefate/darlin_meiji_e1_ra_ta_01c/TA_Tigre/fastqc_after_pear,False,missing,0,
Tigre,Brain_E1_all_TA,cutoff3_done,/home/zhutao/scratch/nichefate/darlin_meiji_e1_ra_ta_01c/TA_Tigre/DARLIN/results_cutoff_override_3/Brain_E1_all_TA/DARLIN_analysis.done,False,missing,0,
Tigre,Brain_E1_all_TA,cutoff10_done,/home/zhutao/scratch/nichefate/darlin_meiji_e1_ra_ta_01c/TA_Tigre/DARLIN/results_cutoff_override_10/Brain_E1_all_TA/DARLIN_analysis.done,False,missing,0,
Tigre,Brain_E1_all_TA,cutoff3_summary_mat,/home/zhutao/scratch/nichefate/darlin_meiji_e1_ra_ta_01c/TA_Tigre/DARLIN/results_cutoff_override_3/Brain_E1_all_TA/Summary.mat,False,missing,0,
Tigre,Brain_E1_all_TA,cutoff10_summary_mat,/home/zhutao/scratch/nichefate/darlin_meiji_e1_ra_ta_01c/TA_Tigre/DARLIN/results_cutoff_override_10/Brain_E1_all_TA/Summary.mat,False,missing,0,
Tigre,Brain_E1_all_TA,snakemake_log,/home/zhutao/scratch/nichefate/darlin_meiji_e1_ra_ta_01c/TA_Tigre/.snakemake/log/2026-05-10T112356.261509.snakemake.log,True,file,1292,
Tigre,Brain_E1_all_TA,run_log,/home/zhutao/scratch/nichefate/darlin_meiji_e1_ra_ta_01e/logs/TA_Tigre_run.log,True,file,42877,
Rosa,Brain_E1_all_RA,staging_root,/home/zhutao/scratch/nichefate/darlin_meiji_e1_ra_ta_01c/RA_Rosa,True,directory,0,
Rosa,Brain_E1_all_RA,darlin_root,/home/zhutao/scratch/nichefate/darlin_meiji_e1_ra_ta_01c/RA_Rosa/DARLIN,False,missing,0,
Rosa,Brain_E1_all_RA,run_log,/home/zhutao/scratch/nichefate/darlin_meiji_e1_ra_ta_01e/logs/RA_Rosa_run.log,False,missing,0,
