risk_item,status,evidence,impact,decision_category,next_action
"exact template variant ambiguity","blocking","TA has Tigre_2022/Tigre_2022_v2 candidates; RA has Rosa/Rosa_v2 candidates.","Wrong template would change primer/reference interpretation.","blocked_pending_exact_template_variant","Confirm exact template per sample before 01C."
"exact cfg_type ambiguity","blocking","Official code supports multiple DNA/RNA and UMI-length variants for Tigre and Rosa.","Wrong cfg_type would change read/UMI parsing and allele support.","blocked_pending_cfg_type","Confirm exact cfg_type per sample before 01C."
"read cutoff / UMI cutoff ambiguity","blocking","Official config requires read_cutoff_UMI_override; legacy config uses [3,10] but is not Meiji-specific.","Cutoffs affect barcode allele evidence and downstream clone interpretation.","blocked_pending_cfg_type","Confirm dry-run cutoff values."
"safe staging root","planned_not_executed","Proposed future root is /home/zhutao/scratch/nichefate/darlin_meiji_e1_ra_ta/.","Wrong root could write to unsafe or raw-data locations.","blocked_pending_safe_staging_root","Approve scratch staging root before creating symlinks."
"symlink-only staging feasibility","planned_not_executed","DARLIN-01B mapped provider FASTQs to raw_fastq/{sample}_R1/R2.fastq.gz names.","Symlinks are feasible in principle but not created.","blocked_pending_safe_staging_root","Create symlinks only in 01C after approval."
"MATLAB/Custom_CARLIN requirement","blocking","README and run_CARLIN.sh require MATLAB; current PATH lacks matlab.","Dry-run may parse without MATLAB, but execution policy remains unresolved.","blocked_pending_matlab_policy","Confirm MATLAB/module/toolbox policy."
"Snakemake parse-time rsync/template-copy side effects","blocking","help_functions.update_CARLIN_dir uses rsync during snakefile top-level template handling.","Dry-run may not be purely side-effect-free.","blocked_pending_snakemake_side_effect_review","Approve template-copy side effects and location before 01C."
"dependency environment","partial","darlin-repro has snakemake/pear/fastqc/multiqc by file check; current PATH lacks snakemake/fastqc/multiqc.","Need explicit environment activation policy for 01C.","blocked_pending_dependency_env","Use darlin-repro only after config decisions."
"output root safety","planned_not_executed","Future output root planned under /home/zhutao/scratch/nichefate/.","Prevents raw data and /ssd writes if followed.","ready_for_01c_dryrun_staging_after_blockers","Keep /ssd forbidden."
"/ssd avoidance","passed","No /ssd write is planned or performed.","Meets safety boundary.","ready_for_01c_dryrun_staging_after_blockers","Continue no-/ssd policy."
