component,status,evidence,blocker,decision_category,next_action
"E FASTQs","available","8 PE100 files across 4 lanes found in E Res/Lane01-Lane04; tiny header probes only.","none for file presence","input_present","Keep as mixed ST E input; do not process until BC/linkage contract exists."
"BC called table","partial","SalusCallFile/ListTable.csv exists with 2 x 1821 numeric fields.","Semantics of rows/values not documented locally.","blocked_pending_bc_coordinate_contract","Ask provider/Salus docs for ListTable contract."
"Coordinate table","not_ready","RunInfo/AInfo provide grid dimensions and step sizes; no x/y table with spot IDs found.","Origin, orientation, units, spot IDs, and E linkage missing.","blocked_pending_bc_coordinate_contract","Resolve coordinate construction contract before ST-02."
"E-to-BC linkage","not_ready","E headers contain lane, tile/FOV-like numeric field, and R###/C### fields.","No file maps E header fields to BC ListTable or BC FOV reports.","blocked_pending_e_bc_linkage","Obtain Salus/Sailu mapping rule."
"UMI rule","unknown","No local ST processing contract identified.","UMI location or absence not confirmed.","blocked_pending_raw_st_processing_implementation","Ask for raw ST pipeline read structure."
"Expression read structure","partial","E R1/R2 sampled reads are 100 bp; E RunInfo reports Read1-Read2 and IndexLen=0.","Which read carries cDNA, UMI, or spatial linkage is not confirmed.","blocked_pending_raw_st_processing_implementation","Obtain Sailu/Salus read parser contract."
"Reference genome/transcriptome","missing","No reference path was confirmed in ST-01.","Reference and annotation are required for counting.","blocked_pending_reference_and_annotation","Select reference only after raw ST pipeline contract is known."
"Gene annotation","missing","No gene annotation path was confirmed in ST-01.","Annotation is required for matrix generation.","blocked_pending_reference_and_annotation","Confirm GTF/transcriptome source."
"Aligner/counting method","missing","No Sailu raw ST entrypoint was confirmed.","No alignment/counting command should run yet.","blocked_pending_raw_st_processing_implementation","Identify official or validated raw ST processing script."
"Matrix writer","missing","No expression matrix exists for Sailu_0313_19A_mixed_ST.","Raw ST processing output contract missing.","blocked_pending_raw_st_processing_implementation","Define matrix output schema."
"AnnData writer","missing","No h5ad exists for Sailu_0313_19A_mixed_ST.","Processed matrix and metadata are absent.","blocked_pending_raw_st_processing_implementation","Generate only after raw ST smoke succeeds."
"M0-compatible metadata","missing","No spot metadata, gene metadata, or coordinate table is ready.","M0 should not parse raw FASTQ directly.","blocked_pending_provider_salus_contract","Build M0 bridge after matrix and coordinates exist."
